Make,Model,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Car_Age,Engine (cc),Max Power (BHP),Max Power (RPM)
19,377,40310,6,1,56,3,2,2,3675,1475,1800,7,40,6,1196,73,6000
8,506,69700,6,0,45,1,2,1,3765,1660,1520,5,43,10,1197,79,6000
1,954,74073,2,0,27,1,2,0,4648,1881,1661,5,67,13,1995,184,4000
30,461,73000,2,0,45,1,2,2,4795,1855,1835,7,80,6,2755,174,3400
7,248,130000,6,1,16,4,2,1,4545,1750,1450,5,50,19,1799,130,6300
0,44,50000,2,0,45,1,2,1,4280,1767,1591,5,52,13,1692,129,4835
19,823,24000,6,0,0,1,2,1,3845,1735,1530,5,37,4,1197,89,6000
8,405,43000,2,1,0,1,2,1,3995,1775,1505,5,37,4,1493,99,4000
0,39,40500,2,0,22,1,2,1,4456,1796,1416,5,50,9,1968,141,3500
7,234,49013,6,0,45,1,2,1,4440,1695,1495,5,40,8,1497,117,6600
6,456,64983,2,1,45,1,2,1,3795,1680,1427,5,45,12,1399,68,4000
7,578,92270,6,1,45,1,2,1,3955,1694,1544,5,40,8,1199,89,6000
31,644,65000,6,1,45,1,2,1,3970,1682,1453,5,45,12,1198,74,5400
7,109,110000,2,1,74,1,2,1,3990,1680,1505,5,35,11,1498,99,3600
30,173,47000,6,0,15,1,2,1,4825,1825,1480,5,70,8,2494,179,6000
18,847,10000,6,0,30,1,2,0,3985,1820,1844,4,57,3,1997,150,5000
21,153,51500,2,0,27,3,2,2,4596,1770,1447,5,66,14,2143,207,4200
0,661,35000,2,0,56,1,2,0,4385,1831,1608,5,64,7,1968,184,3500
19,132,61518,6,1,51,1,2,1,3995,1745,1500,5,37,8,1197,83,6000
1,948,34000,2,0,15,1,1,2,4454,2044,1545,5,63,7,1995,184,4000
19,133,36058,6,1,45,1,2,1,3995,1745,1500,5,37,8,1197,83,6000
8,283,88000,2,0,1,1,2,1,4270,1780,1630,5,60,9,1582,126,4000
31,875,98112,6,1,45,1,2,1,4384,1699,1466,5,55,10,1598,103,5250
21,148,58000,2,0,6,1,2,2,4596,1770,1447,5,66,12,2143,170,4200
30,174,92355,6,0,45,1,2,1,4825,1825,1480,5,65,10,2494,202,5700
19,311,16652,6,1,1,1,2,1,3995,1735,1515,5,37,6,1197,89,6000
23,837,76584,2,1,45,1,2,1,4331,1822,1671,5,50,9,1461,108,3900
19,928,42500,0,1,45,1,2,1,3599,1495,1700,5,35,10,998,58,6200
19,912,70000,2,1,44,1,2,1,3995,1790,1640,5,48,9,1248,89,4000
1,961,84700,2,0,50,3,2,0,4886,1938,1762,5,52,10,2993,258,4000
21,479,83400,2,0,27,3,2,1,4280,1767,1591,5,52,7,1692,129,4835
24,179,2766,6,0,45,1,2,0,4931,1983,1676,4,75,3,2995,335,5300
21,164,56000,6,0,21,3,2,2,4686,1810,1409,4,59,8,1991,241,5500
8,393,68766,6,1,45,1,2,1,3985,1734,1505,5,45,10,1197,82,6000
8,897,16339,6,1,36,1,2,1,4375,1700,1475,5,43,7,1591,121,6300
7,102,63882,6,1,45,1,2,1,3990,1680,1505,5,35,9,1198,87,6000
30,268,28732,6,1,76,1,2,1,4540,1760,1480,5,55,13,1798,138,6400
8,398,51349,6,1,48,1,2,1,3985,1734,1505,5,45,8,1197,82,6000
8,506,61866,6,0,68,1,2,1,3765,1660,1520,5,43,11,1197,79,6000
8,303,29401,6,1,45,1,2,1,4270,1780,1630,5,60,8,1591,122,6400
0,57,98580,2,0,22,1,2,1,4915,1874,1455,5,65,13,1968,177,3750
1,948,8000,2,0,15,1,2,2,4454,2044,1545,5,63,4,1995,184,4000
18,982,31348,2,1,6,1,2,1,3995,1821,1627,5,42,5,1497,115,3750
19,820,28851,2,1,36,1,1,1,3840,1735,1530,5,37,7,1248,74,4000
7,144,38175,6,1,36,1,2,1,4280,1767,1591,5,52,12,1692,129,4835
18,848,8519,6,1,45,1,2,0,3985,1820,1844,4,57,4,1997,150,5000
7,222,78000,6,1,56,1,2,1,4420,1695,1480,5,42,14,1497,118,6600
21,349,48000,2,0,45,1,2,2,4879,1854,1474,5,80,10,2143,204,4200
30,464,143000,2,0,20,3,2,2,4705,1840,1850,7,80,11,2982,169,3600
29,1020,39000,2,1,59,1,0,1,3995,1706,1570,5,44,8,1248,74,4000
27,691,24000,6,0,45,3,2,1,4386,1699,1466,5,55,11,1598,104,5250
19,76,62000,6,1,32,3,2,1,3395,1490,1475,5,35,10,796,47,6000
19,421,78000,2,1,30,3,2,1,4265,1695,1685,7,45,13,1248,89,4000
8,748,48500,5,1,39,2,2,1,3565,1525,1590,5,35,16,1086,63,5500
6,457,82000,2,1,40,3,2,1,3795,1680,1427,5,45,11,1399,68,4000
0,39,40910,2,0,6,1,2,1,4456,1796,1416,5,50,5,1968,141,3500
29,525,10290,2,1,6,1,2,1,4598,1894,1706,5,50,5,1956,168,3750
8,383,10530,6,0,6,1,2,1,3995,1775,1505,5,37,4,998,118,6000
8,385,61900,6,1,24,1,2,1,3985,1734,1505,5,45,10,1197,82,6000
31,643,78000,2,1,6,3,2,1,3970,1682,1453,5,45,12,1199,74,4200
19,804,57402,6,1,15,1,2,1,3995,1695,1555,5,42,11,1197,85,6000
8,747,57000,0,1,32,1,2,1,3565,1525,1590,5,35,12,1086,62,5500
8,519,87500,6,1,24,1,2,1,3765,1660,1520,5,43,10,1197,81,6000
29,614,16000,3,0,45,1,2,1,3993,1811,1606,5,52,4,1692,129,4835
8,290,18000,6,0,15,1,2,1,4300,1790,1635,5,50,3,1353,138,6000
0,652,10700,6,0,1,1,2,0,4318,1805,1548,5,55,5,1984,188,4200
0,674,78000,2,0,10,1,2,0,5052,1968,1740,7,75,7,2967,245,2910
8,383,16282,6,0,56,1,2,1,3995,1775,1505,5,37,5,998,118,6000
8,902,66000,2,1,4,4,2,1,4370,1700,1475,5,43,12,1582,126,4000
19,937,72019,6,1,59,3,2,1,3599,1495,1700,5,35,8,998,67,6200
1,16,195000,2,0,27,1,2,2,4899,2094,1464,5,52,12,1995,184,4000
18,757,92170,2,1,59,3,2,2,4495,1817,1975,7,60,18,2609,116,3800
8,507,55221,6,1,45,1,2,1,3765,1660,1520,5,43,7,1197,81,6000
30,461,25000,2,0,51,1,2,2,4795,1855,1835,7,80,7,2755,174,3400
19,704,58888,6,1,15,3,2,1,4280,1767,1591,5,52,14,1692,129,4835
0,669,1,6,0,15,5,2,0,4663,1898,1659,5,70,3,1984,248,5000
25,339,23500,6,1,11,1,2,1,4360,1822,1695,5,50,5,1498,105,5600
19,804,68000,6,1,32,3,2,1,3995,1695,1555,5,42,13,1197,85,6000
8,299,29096,6,0,45,1,2,1,4270,1780,1665,5,55,6,1591,122,6400
8,507,61223,6,1,32,1,2,1,3765,1660,1520,5,43,9,1197,81,6000
11,253,86000,2,1,40,1,2,1,4395,1818,1640,5,60,8,1956,171,3750
8,900,87000,2,1,40,1,2,1,4440,1729,1475,5,45,12,1582,126,4000
8,1044,79287,6,1,32,1,2,1,3995,1710,1505,5,45,12,1197,83,6000
21,479,47009,2,0,56,3,2,1,4280,1767,1591,5,52,7,1692,129,4835
0,61,48945,2,0,22,1,1,1,4933,1874,1455,5,75,7,1968,190,3800
18,606,17000,2,1,39,1,2,1,4585,1866,1774,8,45,6,1497,121,3500
12,785,55000,2,1,39,1,2,1,4315,1800,1645,5,50,6,1493,113,4000
19,125,38779,6,1,45,1,2,1,3995,1745,1500,5,37,9,1197,83,6000
21,348,72000,2,0,56,1,2,2,5063,1860,1494,5,80,6,1950,192,3800
19,427,67000,2,1,50,1,2,1,4296,1695,1685,7,45,9,1248,89,4000
8,904,67000,6,1,50,1,2,1,4370,1700,1475,5,43,8,1591,121,6300
8,902,70000,2,1,30,3,2,1,4370,1700,1475,5,43,13,1582,126,4000
14,324,6000,2,0,27,1,2,0,4600,2069,1724,7,70,5,1999,177,4000
30,461,46000,2,0,15,1,2,2,4795,1855,1835,7,80,8,2755,174,3400
21,482,34000,2,0,50,1,2,0,4819,2141,1796,5,93,8,2143,201,3800
8,1008,23103,6,1,69,1,2,1,3995,1660,1520,5,43,10,1197,81,6000
21,714,27000,6,0,15,1,2,2,5453,1899,1498,4,70,9,4663,453,5250
8,299,9576,6,0,6,1,2,1,4270,1780,1665,5,55,6,1591,122,6400
16,533,27000,6,0,53,1,2,1,4655,1835,1760,5,60,5,1451,141,5000
16,118,1942,6,0,6,1,2,1,4323,1809,1650,5,48,4,1498,108,6000
7,172,119300,6,0,56,4,2,0,4630,1780,1710,5,58,19,2354,152,6000
19,76,55000,6,1,20,1,2,1,3395,1490,1475,5,35,9,796,47,6000
25,335,98000,2,1,31,3,2,1,4315,1822,1695,5,50,10,1461,84,3750
8,518,61400,6,1,5,1,2,1,3765,1660,1520,5,43,8,1197,81,6000
7,233,87693,6,1,56,1,2,1,4440,1695,1495,5,40,9,1497,117,6600
21,154,31000,6,0,45,1,2,2,4686,1810,1442,5,66,10,1991,181,5500
8,390,75210,2,1,1,1,2,1,3985,1734,1505,5,40,9,1396,89,4000
27,451,69000,6,1,45,1,2,1,4000,1642,1522,5,45,13,1598,105,5250
27,689,88000,2,0,56,3,2,1,4386,1699,1466,5,55,11,1498,103,4400
12,787,15000,6,0,36,1,2,1,3995,1790,1647,5,45,5,998,118,6000
18,989,45350,2,0,6,1,2,1,4585,1890,1785,7,70,5,2179,153,3750
1,4,68189,2,0,29,1,2,2,4633,1811,1429,5,57,7,1995,188,4000
21,471,75000,2,0,20,1,2,1,4417,1804,1494,5,50,10,2143,134,3600
19,940,45000,6,1,56,1,2,1,3539,1495,1700,5,35,12,998,68,6200
0,62,33000,2,0,20,3,2,1,4915,1874,1455,5,65,11,1968,177,3750
18,773,83000,2,1,63,3,2,2,4430,1817,1975,8,60,11,2179,120,4000
1,16,78000,2,0,44,1,2,2,4899,2094,1464,5,52,13,1995,184,4000
30,467,211000,2,1,29,1,2,0,4705,1840,1850,7,80,11,2982,169,3600
8,393,67000,6,1,27,1,2,1,3985,1734,1505,5,45,10,1197,82,6000
6,369,75000,2,1,45,1,2,1,3999,1765,1708,5,52,8,1498,99,3750
0,671,48600,2,0,49,3,2,0,5089,1983,1737,6,100,11,2967,241,3800
21,159,48000,2,0,15,1,2,2,4686,1810,1442,5,66,9,2143,204,3800
19,726,5790,6,1,27,1,2,1,3565,1520,1564,5,27,5,998,67,5500
18,767,32000,2,1,54,1,2,2,4456,1820,1995,7,60,7,2179,120,4000
16,534,65433,2,1,39,1,2,1,4655,1835,1760,5,60,5,1956,169,3750
19,816,87230,2,1,27,1,2,1,3760,1690,1530,5,43,14,1248,75,4000
19,819,38258,2,1,73,3,2,1,3840,1735,1530,5,37,8,1248,74,4000
7,239,56881,6,1,39,1,2,1,4440,1695,1495,5,40,6,1497,117,6600
30,556,76000,2,1,32,3,2,1,4555,1770,1755,7,55,12,2494,102,5600
25,332,72000,2,1,40,3,2,1,4315,1822,1695,5,50,11,1461,108,3900
0,653,72000,2,0,27,5,2,0,4385,1831,1608,5,64,13,1968,174,4200
21,598,60514,2,0,56,1,2,0,4781,1911,1774,5,95,11,2987,234,3800
32,869,71141,2,0,50,1,2,1,4370,1783,1458,5,60,12,1984,150,3500
1,21,40937,2,0,11,1,2,2,4899,2094,1464,5,65,7,2993,258,4000
19,802,37000,2,1,64,1,2,1,3995,1695,1555,5,42,12,1248,74,4000
18,767,46000,2,1,54,1,2,2,4456,1820,1995,7,60,6,2179,120,4000
1,960,86999,2,0,44,1,2,0,4886,1938,1762,5,52,10,2993,258,4000
7,221,70200,6,0,45,3,2,1,4420,1695,1480,5,42,16,1497,118,6600
21,147,64800,6,0,15,1,2,2,4596,1770,1447,5,66,13,1796,186,5600
8,283,73000,2,0,14,1,2,1,4270,1780,1630,5,60,9,1582,126,4000
21,357,72000,2,0,71,3,2,2,4868,1854,1471,5,80,13,2987,231,3800
21,600,76345,2,0,24,1,2,0,4804,2141,1796,5,70,10,2997,254,3600
19,76,40564,6,1,31,1,2,1,3395,1490,1475,5,35,8,796,47,6000
8,1045,98500,2,1,10,1,2,1,3995,1710,1505,5,45,12,1336,89,4000
27,697,46807,6,0,6,1,2,1,4413,1699,1466,5,55,5,999,109,5000
29,617,81000,6,0,72,1,2,1,3994,1811,1607,5,44,7,1198,108,5000
19,804,13716,6,1,56,1,2,1,3995,1695,1555,5,42,10,1197,85,6000
19,807,89000,2,1,11,1,2,1,3995,1695,1555,5,42,11,1248,74,4000
12,789,13000,2,0,45,1,2,1,3995,1790,1647,5,45,4,1493,113,4000
27,695,38000,6,1,6,1,2,1,4413,1699,1466,5,55,7,1598,104,5200
0,681,25500,6,0,45,3,1,0,4649,1860,1366,5,64,13,4163,444,8250
8,513,17000,6,0,6,1,2,1,3805,1680,1520,5,37,5,1197,82,6000
21,680,44724,6,0,6,1,2,0,5157,2183,1659,7,80,13,3496,272,6000
30,546,24549,2,1,29,3,2,2,4735,1830,1795,7,55,5,2393,148,3400
8,304,97000,2,0,76,1,1,1,4270,1780,1630,5,60,8,1582,126,4000
30,461,7800,2,0,45,1,2,2,4795,1855,1835,7,80,7,2755,174,3400
7,222,78000,6,1,76,1,1,1,4420,1695,1480,5,42,15,1497,118,6600
25,593,55000,6,1,73,1,2,1,3679,1579,1478,5,28,6,799,53,5678
0,59,20000,6,0,6,5,2,1,4915,1874,1455,5,75,4,1984,180,4000
29,742,13594,2,0,6,1,2,1,4661,1894,1786,6,50,4,1956,168,3750
0,57,75000,2,0,1,1,2,1,4915,1874,1455,5,65,11,1968,177,3750
19,705,65000,2,1,45,1,2,1,3715,1680,1620,5,43,14,1248,75,4000
7,143,43037,6,1,26,1,2,1,3610,1680,1500,5,35,11,1198,87,6000
19,819,26000,2,1,15,1,2,1,3850,1695,1530,5,42,12,1248,74,4000
18,770,78000,2,1,75,1,2,2,4456,1820,1995,7,60,5,2179,140,3750
30,565,115000,2,0,15,1,2,2,4735,1830,1795,7,55,7,2755,172,3400
7,112,8700,6,0,41,1,2,1,3995,1695,1501,5,35,4,1199,89,6000
21,482,31000,2,0,45,1,1,0,4819,2141,1796,5,93,6,2143,201,3800
11,260,41736,2,0,1,1,2,0,4395,1818,1640,5,60,5,1956,171,3750
20,596,40000,2,0,11,3,2,0,5005,1981,1693,5,80,8,2979,275,4000
30,461,55000,2,0,15,1,1,2,4795,1855,1835,7,80,5,2755,174,3400
24,182,160000,6,0,45,1,2,0,4846,1939,1702,5,100,11,4806,500,6500
30,568,11000,2,0,0,1,2,2,4735,1830,1795,7,55,3,2393,148,3400
1,958,24690,2,0,45,1,2,0,4886,1938,1762,7,52,7,2993,258,4000
30,468,117000,2,1,0,3,2,0,4695,1840,1850,7,80,14,2982,171,3600
0,672,95000,2,0,39,1,2,0,5089,1983,1737,7,100,11,2967,241,3800
19,933,76000,0,1,32,1,2,1,3655,1620,1675,5,60,6,998,58,5500
19,88,18000,6,1,39,1,2,1,3545,1490,1475,5,35,7,998,67,6000
19,212,38000,6,1,45,1,2,1,4490,1730,1485,5,43,10,1373,91,6000
19,815,43000,2,0,45,1,2,1,3840,1735,1530,5,37,7,1248,74,4000
8,902,107000,2,1,10,1,2,1,4370,1700,1475,5,43,12,1582,126,4000
21,161,13000,6,0,15,1,2,2,4702,1810,1434,4,66,4,2996,362,5500
21,355,85000,2,0,44,3,2,2,4868,1854,1471,5,90,14,2143,203,4200
29,621,8922,6,0,6,1,2,1,3994,1811,1607,5,44,7,1198,108,5000
19,80,47800,6,1,17,1,2,1,3395,1490,1475,5,35,12,796,47,6000
18,995,143000,2,1,44,1,2,1,4585,1890,1785,7,70,13,2179,140,3750
29,526,68758,2,1,27,1,2,1,4598,1894,1706,5,50,6,1956,138,3750
7,610,72000,2,1,0,3,2,1,4386,1683,1603,7,42,10,1498,99,3600
29,649,7500,6,1,45,1,2,1,3827,1742,1615,5,37,3,1199,84,6000
19,940,37000,6,1,45,3,2,1,3539,1495,1700,5,35,13,998,68,6200
8,509,22402,6,1,45,1,2,1,3765,1660,1520,5,43,9,1197,81,6000
7,233,12382,6,1,56,1,1,1,4440,1695,1495,5,40,6,1497,117,6600
19,127,61000,2,1,67,1,2,1,3995,1745,1500,5,37,8,1248,74,4000
10,450,90868,2,0,11,1,2,0,4731,2071,1651,5,82,7,1999,177,4000
1,961,84700,2,0,56,3,2,0,4886,1938,1762,5,52,10,2993,258,4000
14,687,22010,6,0,44,1,2,0,4879,2073,1803,5,104,3,1997,296,5500
30,466,72000,2,0,29,3,2,0,4705,1840,1850,7,80,10,2982,169,3600
25,589,75500,6,1,58,1,2,1,3679,1579,1478,5,28,7,999,67,5500
1,947,25000,2,0,11,1,2,1,4439,1821,1612,5,51,7,1995,188,4000
0,661,38000,2,0,15,1,2,0,4385,1831,1608,5,64,7,1968,184,3500
19,936,39586,6,1,59,1,2,1,3520,1475,1690,5,35,16,1061,67,6200
8,387,33647,6,0,45,1,2,1,3985,1734,1505,5,40,7,1197,82,6000
1,1,75576,2,0,45,3,2,1,4280,1767,1591,5,52,13,1692,129,4835
18,983,86000,2,1,39,1,2,1,4585,1890,1785,7,70,9,2179,138,3750
8,507,57847,6,1,6,1,2,1,3765,1660,1520,5,43,7,1197,81,6000
19,804,74000,6,1,59,1,2,1,3995,1695,1555,5,42,9,1197,83,6000
24,180,58000,2,0,10,1,2,0,4846,2155,1705,5,85,10,2967,245,4400
23,835,85000,2,1,27,3,2,1,4331,1822,1671,5,50,11,1461,84,3750
25,590,26000,6,1,45,1,2,1,3679,1579,1478,5,28,9,999,67,5500
8,290,18000,6,0,45,1,2,1,4300,1790,1635,5,50,5,1353,138,6000
18,845,11000,2,0,45,1,2,0,3985,1820,1844,4,57,3,2184,130,3750
14,320,57300,2,0,28,1,2,0,4600,2069,1724,7,65,7,2179,148,4000
1,19,74000,2,0,45,3,2,1,4841,1846,1468,5,70,15,2497,177,4000
30,493,25000,6,0,15,1,2,1,3995,1745,1510,5,37,6,1197,82,6000
8,284,39000,6,0,27,3,2,1,4270,1780,1630,5,60,8,1591,122,6400
30,546,45000,2,1,40,1,2,2,4735,1830,1795,7,55,5,2393,148,3400
31,640,80852,6,0,20,3,2,1,3970,1682,1453,5,45,10,1198,103,5000
9,601,75592,2,0,27,1,2,2,4825,1860,1840,7,65,7,2999,174,3600
19,87,54420,6,1,31,1,2,1,3620,1475,1460,5,35,11,998,67,6200
30,271,39780,6,0,45,1,2,1,4620,1775,1475,5,55,10,1798,138,6400
8,1033,78301,6,0,56,3,2,1,3585,1595,1550,5,35,12,1197,79,6000
29,536,38000,2,1,45,1,2,2,4788,1903,1791,7,60,7,2179,148,4000
8,1031,126535,6,1,27,1,2,1,3565,1595,1550,5,35,16,1197,80,5200
8,284,37079,6,0,68,1,2,1,4270,1780,1630,5,60,9,1591,122,6400
21,486,87200,2,0,6,1,2,0,5130,1934,1850,7,100,7,2987,255,3400
0,654,51000,2,0,58,3,2,0,4385,1831,1608,5,64,11,1968,174,4200
31,637,39000,6,1,15,1,2,1,3970,1682,1453,5,45,12,1198,74,5400
19,704,90000,6,1,56,3,2,1,4280,1767,1591,5,52,14,1692,129,4835
10,970,29999,2,0,6,1,2,2,4795,1967,1416,5,56,8,1999,177,4000
29,740,100472,2,1,59,1,2,1,4810,1918,1925,7,65,11,1948,90,4300
0,657,84700,2,0,33,1,2,0,4385,1831,1608,5,64,9,1968,174,4200
19,83,19759,6,1,11,1,2,1,3495,1475,1460,5,35,17,796,47,6200
10,971,66000,2,0,45,1,2,1,4280,1767,1591,5,52,11,1692,129,4835
8,906,56000,6,1,51,1,2,1,4370,1700,1475,5,43,11,1591,121,6300
8,890,3383,6,1,45,1,2,1,3995,1770,1605,5,45,3,998,118,6000
19,913,42000,2,1,39,1,2,1,3995,1790,1640,5,48,7,1248,89,4000
1,954,65000,2,0,15,3,2,0,4648,1881,1661,5,67,13,1995,184,4000
7,925,17000,6,1,1,1,2,1,3999,1734,1601,5,40,6,1199,89,6000
1,13,38000,2,0,12,3,2,2,4936,1868,1479,5,65,9,1995,188,4000
7,108,62500,2,1,73,1,2,1,3990,1680,1505,5,35,11,1498,99,3600
29,529,30229,2,0,45,1,2,1,4598,1894,1706,5,50,4,1956,168,3750
24,30,9000,6,0,56,1,1,0,4491,1852,1304,4,68,6,3436,325,7400
19,929,26600,0,1,56,1,2,1,3599,1495,1700,5,35,9,998,58,6200
19,202,86000,2,1,75,3,2,1,4490,1730,1485,5,43,8,1248,89,4000
8,865,86000,6,0,6,1,2,1,4475,1850,1660,5,62,8,1999,153,6200
31,634,125000,2,1,31,1,2,1,4280,1767,1591,5,52,11,1692,129,4835
8,1046,29135,6,1,52,1,2,1,3995,1710,1505,5,45,12,1197,83,6000
32,870,50965,2,0,36,1,1,1,4370,1783,1458,5,60,10,1984,150,3500
30,464,72000,2,0,15,1,2,2,4705,1840,1850,7,80,11,2982,169,3600
21,154,28000,6,0,24,1,2,2,4686,1810,1442,5,66,9,1991,181,5500
7,574,42000,6,0,15,1,2,1,3955,1694,1544,5,40,10,1199,89,6000
21,717,11850,2,0,71,1,2,2,5246,1899,1494,5,70,8,2925,282,3600
7,571,32000,6,1,24,1,2,1,3900,1695,1535,5,42,15,1198,89,6200
1,3,24000,2,0,15,1,2,2,4709,1827,1435,5,59,4,1995,188,4000
14,445,50623,2,0,36,3,2,0,4465,1900,1635,5,57,10,2179,188,3500
18,1012,85000,2,1,32,2,2,1,4520,1850,1895,7,55,13,2489,95,3600
8,892,1700,2,1,45,1,2,1,3995,1770,1605,5,45,3,1493,99,4000
31,640,43260,6,0,6,1,2,1,3971,1682,1469,5,45,5,1197,103,5000
19,928,67738,0,1,15,3,2,1,3599,1495,1700,5,35,10,998,58,6200
18,762,69000,2,1,39,1,2,0,4456,1820,1995,7,60,6,2179,140,3750
0,44,93417,2,0,39,1,2,1,4280,1767,1591,5,52,13,1692,129,4835
19,817,14722,6,1,6,1,2,1,3845,1735,1530,5,37,4,1197,89,6000
30,548,29000,2,1,47,1,2,2,4735,1830,1795,7,55,8,2393,148,3400
11,251,60200,6,0,68,1,1,1,4395,1818,1640,5,60,8,1368,160,5500
